Designator,Mid X,Mid Y,Layer,Rotation
C(Tantalum)1,246,-115.4875,top,90
C1,245,-125,top,270
C2,237.125,-66,top,180
C3,259.125,-81,top,0
C4,262.875,-126,top,180
C5,263,-124,top,180
C8,267,-78.125,top,270
C10,224.125,-109,top,0
C12,227.875,-109,top,180
C14,243,-99.875,top,270
C15,241,-99.875,top,270
C16,212,-114.875,top,90
C17,222,-116,top,90
C?(Ceramic)1,244,-115,top,90
D1,251.8525,-143,top,180
D2,251.8525,-146,top,180
D3,249.6,-66,top,0
D4,210,-140,top,0
D5,210,-136.666666,top,0
D6,210,-133.333333,top,0
D7,210,-130,top,0
D8,190.6,-146,top,180
D9,264,-77.75,top,270
D10,200,-73,top,0
Q1,254,-97,top,90
Q2,250,-97,top,90
Q5,210,-100,top,180
R1,221.125,-138,top,180
R2,221.125,-135.5,top,180
R3,221.125,-133,top,180
R4,257,-97,top,90
R5,251.875,-141,top,0
R6,251.875,-148,top,0
R7,237,-86,top,180
R8,237,-84,top,180
R9,237,-82,top,180
R10,237,-80,top,180
R11,237,-78,top,180
R12,237,-76,top,180
R13,237,-74,top,180
R14,237,-72,top,180
R15,237,-70,top,180
R16,237,-68,top,180
R17,246,-90,top,0
R18,246.125,-92,top,180
R19,246.125,-88,top,180
R20,247.875,-86,top,0
R21,201,-88.875,top,270
R22,210,-155,top,90
R23,214.125,-73,top,180
R24,264,-92.125,top,270
R25,214.125,-75,top,180
R26,264.125,-97,top,0
R27,267,-98,top,90
R28,264,-99,top,0
R29,201.875,-93,top,180
R30,216.875,-99,top,0
R31,217,-97,top,0
R32,243,-96.125,top,270
R33,216.875,-94,top,0
R34,258,-136,top,180
R35,258,-134,top,180
U1,252,-126,top,180
U2,252,-91,top,270
U3,210,-95,top,270
U4,252,-78,top,90
U6,226,-114,top,270
U8,229,-96,top,90
U9,237,-92,top,0
U10,217,-113.1,top,90
U11,237,-100,top,90
U12,252,-115,top,90
